,t,"c=0.1,k=1.0,m=1.0,d0=0.1","c=0.5,k=0.25,m=3,d0=0.05","c=0.12,k=0.3,m=0.7,d0=0.08","c=0.07,k=0.2,m=5,d0=0.07","c=0.2,k=0.1,m=0.5,d0=0.05","c=0.12,k=0.3,m=2,d0=0.08","c=0.6,k=0.6,m=2,d0=0.09","c=0.2,k=0.4,m=3,d0=0.1"
266,6.65,0.06841339853051341,0.0007703280021788829,-0.022980372960652654,0.01825896080717472,-0.008657170049470513,-0.05227243135524332,-0.03438943153680313,-0.05518628726791533
267,6.675000000000001,0.06776306036106501,0.0005618846048321504,-0.022289848972287443,0.0179342147928077,-0.008732812366429234,-0.05261518004029506,-0.034219704187298236,-0.05566978440788554
268,6.7,0.06707204919252993,0.0003542787109343608,-0.02159632045333072,0.01760913414367449,-0.008806615879386697,-0.05295248605075323,-0.034044852937277034,-0.05614784113773915
269,6.7250000000000005,0.06634089790052068,0.0001475176284124327,-0.020899985617715677,0.017283727102453968,-0.008878589705378739,-0.05328432594602323,-0.0338649487337068,-0.056620426712669966
270,6.75,0.06557016308506364,-5.839140910190948e-05,-0.020201042581771706,0.016958001917098987,-0.008948743098293917,-0.05361067683270497,-0.03368006293731308,-0.057087510894617166
271,6.775,0.06476042466393919,-0.000263441242339236,-0.019499689311689654,0.016631966840628284,-0.009017085446360857,-0.053931516365917614,-0.03349026730615809,-0.05754906395393915
272,6.800000000000001,0.06391228545248354,-0.000467624786455235,-0.018796123571251825,0.01630563013091844,-0.009083626269643862,-0.054246822750570495,-0.03329563397926785,-0.05800505667104212
273,6.825,0.06302637073014654,-0.0006709350310895262,-0.018090542869840052,0.01597900005049588,-0.009148375217547064,-0.05455657474258093,-0.03309623546031036,-0.05845546033796388
274,6.8500000000000005,0.062103327794110555,-0.0008733650404203575,-0.01738314441073292,0.015652084866328478,-0.009211342066327339,-0.05486075165003825,-0.03289214460132758,-0.058900246759912005
275,6.875,0.06114382550028014,-0.0010749079532150823,-0.01667412503970782,0.01532489284961764,-0.009272536716616134,-0.05515933333431479,-0.03268343458652404,-0.05933938825675687
276,6.9,0.06014855379196187,-0.0012755569828766828,-0.015963681193956112,0.01499743227558985,-0.009331969190950562,-0.05545230021112296,-0.032470178916114374,-0.05977285766447934
277,6.925000000000001,0.059118223216557825,-0.0014753054174861506,-0.015252008851328207,0.014669711423288549,-0.00938964963131382,-0.05573963325151913,-0.032252451390232625,-0.06020062833657313
278,6.95,0.05805356443060554,-0.0016741466198408302,-0.0145393034799166,0.014341738575365796,-0.009445588296685292,-0.05602131398285379,-0.03203032609290571,-0.06062267414540145
279,6.9750000000000005,0.05695532769350126,-0.0018720740274887117,-0.01382575998799188,0.014013522017874064,-0.00949979556060044,-0.05629732448966821,-0.03180387737609357,-0.06103896948350886
280,7.0,0.05582428235025264,-0.0020690811527587023,-0.013111572674302099,0.013685070040057866,-0.009552281908720726,-0.05656764741453764,-0.031573179843798614,-0.06144948926488673
281,7.025,0.05466121630360849,-0.002265161582786881,-0.012396935178747619,0.013356390934145397,-0.0096030579364138,-0.05683226595886092,-0.031338308336246755,-0.06185420892619382
282,7.050000000000001,0.05346693547592441,-0.002460308979538758,-0.011682040433443014,0.013027492995140316,-0.00965213434634407,-0.05709116388359641,-0.031099337914142485,-0.062253104427931194
283,7.075,0.052242263261123516,-0.002654517079827538,-0.01096708061417744,0.012698384520613386,-0.00969952194607395,-0.05734432550994475,-0.030856343843000535,-0.0626461522555714
284,7.1000000000000005,0.050988039967120605,-0.0028477796953284857,-0.010252247092284734,0.012369073810494166,-0.009745231645675907,-0.05759173571997777,-0.030609401577556136,-0.06303332942064212
285,7.125,0.04970512224908041,-0.0030400907125891917,-0.009537730386934343,0.012039569166862817,-0.009789274455355497,-0.057833379957213944,-0.030358586746256723,-0.06341461346176429
286,7.15,0.04839438253388809,-0.0032314440930361057,-0.008823720117854057,0.011709878893741659,-0.009831661483085659,-0.05806924422714089,-0.030103975135836732,-0.06378998244564459
287,7.175000000000001,0.047056708436211486,-0.0034218338729769494,-0.00811040495849533,0.011380011296887128,-0.009872403932252315,-0.05829931509768344,-0.02984564267597839,-0.06415941496802206
288,7.2,0.045693002166541784,-0.003611254163599378,-0.007397972589651807,0.01104997468358139,-0.00991151309931159,-0.05852357969961947,-0.029583665424060206,-0.06452289015456963
289,7.2250000000000005,0.04430417993160114,-0.0037996991509656815,-0.006686609653541512,0.010719777362424252,-0.00994900037145873,-0.05874202572694153,-0.029318119549995615,-0.06488038766174946
290,7.25,0.042891171327512384,-0.003987163096003639,-0.005976501708363013,0.010389427643124978,-0.009984877224308934,-0.0589546414371655,-0.029049081321163964,-0.065231887677623
291,7.275,0.04145491872612467,-0.004173640334493511,-0.005267833183335634,0.010058933836294288,-0.010019155219590303,-0.059161415651586086,-0.028776627087435808,-0.06557737092261527
292,7.300000000000001,0.039996376654898705,-0.0043591252770512,-0.004560787334233724,0.00972830425323624,-0.010051846002848972,-0.05936233775547884,-0.028500833266294757,-0.06591681865023369
293,7.325,0.03851651117075182,-0.004543612409107581,-0.0038555461994246934,0.00939754720574019,-0.010082961301166683,-0.05955739769824931,-0.028221776328057727,-0.06625021264774118
294,7.3500000000000005,0.03701629922826993,-0.004727096290884084,-0.003152290556420463,0.009066671005872955,-0.010112512920890954,-0.05974658599352898,-0.0279395327811959,-0.06657753523678382
295,7.375,0.035496728042695824,-0.00490957155736438,-0.0024511998789517103,0.008735683965770924,-0.010140512745377918,-0.05992989371921819,-0.027654179157758203,-0.06689876927397279
