,t,"R=0.1,L=1.0,C=1.0,I0=0.1,V0=0.3 ","R=0.5,L=0.25,C=0.3,I0=0.05,V0=0.6 ","R=0.7,L=0.1,C=0.1,I0=0.02,V0=0.9 ","R=0.07,L=0.2,C=0.2,I0=0.07,V0=1.0 ","R=0.2,L=0.1,C=1.0,I0=0.05,V0=0.4 ","R=0.12,L=0.3,C=0.7,I0=0.08,V0=0.6 ","R=0.6,L=0.6,C=0.6,I0=0.09,V0=0.2 ","R=0.2,L=0.4,C=0.3,I0=0.1,V0=0.3 "
431,10.775,0.15979315848416648,-1.0216747643286425e-06,-1.5151273481549705e-17,0.05449417831669862,-2.163413126797408e-05,0.10498836919649504,0.0010159210086045929,0.013717223600549637
432,10.8,0.16198944617433508,-2.2406226213174535e-06,-2.1494655738552828e-17,0.0715119624735285,-2.2368944061890413e-05,0.1056623840682096,0.0010247666611197333,0.012613326194853386
433,10.825000000000001,0.164079138314359,-3.3819215910625647e-06,-2.5593620505608908e-17,0.08727043826924587,-2.2931622335956424e-05,0.106016865724926,0.0010316371137840204,0.011457884431024275
434,10.850000000000001,0.1660611967018423,-4.440088126834453e-06,-2.757469271928938e-17,0.10153574354639437,-2.3327132708014115e-05,0.10605394408813835,0.0010365693561540967,0.01025751647817446
435,10.875,0.16793465291023033,-5.410581384629994e-06,-2.7664886935233688e-17,0.11409925229879773,-2.3561218149789493e-05,0.10577666759827088,0.0010396027872653457,0.009018990726492336
436,10.9,0.1696986087190679,-6.289794131323434e-06,-2.616262575966155e-17,0.12478059615602503,-2.3640325130893248e-05,0.10518898504997405,0.0010407790885982537,0.007749188903745245
437,10.925,0.17135223649935974,-7.0750365127105144e-06,-2.340925408426966e-17,0.13343022051776965,-2.357153002953313e-05,0.10429572494255175,0.0010401420962683477,0.006455069063587967
438,10.950000000000001,0.17289477955390797,-7.764513161521396e-06,-1.976267826980254e-17,0.13993143967860944,-2.3362465294092634e-05,0.10310257243137988,0.0010377376726780055,0.005143628638750523
439,10.975000000000001,0.17432555241252456,-8.357294156162776e-06,-1.5574292725278984e-17,0.14420196337818525,-2.3021245817634357e-05,0.1016160439724251,0.001033613577863433,0.003821867749452819
440,11.0,0.1756439410820477,-8.853280365988583e-06,-1.1169982197641736e-17,0.14619487566427808,-2.2556395963554255e-05,0.09984345975788582,0.0010278193407649158,0.0024967529537065864
441,11.025,0.17684940325111875,-9.25316373836436e-06,-6.835629054061836e-18,0.1458990556319398,-2.1976777655273812e-05,0.09779291404654167,0.0010204061306429062,0.00117518162155557
442,11.05,0.1779414684497052,-9.558383096796865e-06,-2.8072289609642197e-18,0.14333903836410242,-2.129151991623639e-05,0.09547324349760074,0.0010114266288567945,-0.00013605289017505984
443,11.075000000000001,0.178919738163383,-9.771076028098905e-06,7.345610949512422e-19,0.13857432311105053,-2.0509950218798346e-05,0.09289399362166131,0.001000934901217216,-0.0014302950923955383
444,11.100000000000001,0.1797838859024195,-9.894027440139872e-06,3.665843050073513e-18,0.13169814427284754,-1.9641527972095887e-05,0.0900653834668488,0.000988986271116572,-0.002701060084437916
445,11.125,0.18053365722572762,-9.930615370413783e-06,5.917432529324471e-18,0.12283572895943501,-1.8695780449836823e-05,0.08699826866224035,0.0009756371936360433,-0.003942064985710048
446,11.15,0.18116886971978766,-9.884754619689358e-06,7.470021149810083e-18,0.11214207267283062,-1.7682241429421385e-05,0.0837041029443346,0.0009609451308208087,-0.0051472589317165226
447,11.175,0.18168941293266339,-9.760838774666219e-06,8.347270609798277e-18,0.09979927186779272,-1.6610392784041347e-05,0.08019489829557115,0.0009449684283084568,-0.006310851497085146
448,11.200000000000001,0.18209524826326556,-9.56368116914353e-06,8.607564506097208e-18,0.08601345869426352,-1.5489609239625397e-05,0.07648318382671868,0.0009277661934886674,-0.007427339418093212
449,11.225000000000001,0.18238640880604357,-9.298455315030531e-06,8.335103839562068e-18,0.07101138901098347,-1.4329106478884139e-05,0.07258196353736852,0.0009093981753652406,-0.008491531497560845
450,11.25,0.18256299915131294,-8.970635312921109e-06,7.630959477766925e-18,0.05503673970156544,-1.3137892745425248e-05,0.06850467309075048,0.0008899246462843984,-0.009498571585840379
451,11.275,0.18262519514145542,-8.585936727261247e-06,6.604598842953594e-18,0.03834617535262652,-1.1924724072119624e-05,0.06426513574065251,0.0008694062856860294,-0.010443959542907326
452,11.3,0.18257324358325253,-8.150258383709443e-06,5.366294000311393e-18,0.02120524741369473,-1.069806322976449e-05,0.05987751754936581,0.0008479040660272443,-0.011323570098178604
453,11.325000000000001,0.18240746191664262,-7.669625516481552e-06,4.0207026784141465e-18,0.003884191011349459,-9.466042464731945e-06,0.055356282036289756,0.0008254791410201407,-0.012133669536599404
