,R,L,C,U,w,phi0,U/I,phi0-phi1
99,0.5,0.07999999821186066,0.05000000074505806,10.5,11.0,0.5,1.0631026649862232,-1.0810477476912546
100,0.5,0.07999999821186066,0.05000000074505806,11.0,9.0,0.0,1.5832480522095849,-1.2494913242151038
101,0.5,0.07999999821186066,0.05000000074505806,11.0,9.0,0.125,1.5832471579916467,-1.2494896311309343
102,0.5,0.07999999821186066,0.05000000074505806,11.0,9.0,0.25,1.5832476187179922,-1.2494937222829017
103,0.5,0.07999999821186066,0.05000000074505806,11.0,9.0,0.375,1.5832509542450668,-1.2494449540859844
104,0.5,0.07999999821186066,0.05000000074505806,11.0,9.0,0.5,1.5832480522095849,-1.2494864841014879
105,0.5,0.07999999821186066,0.05000000074505806,11.0,9.5,0.0,1.4351773751836099,-1.214945116296278
106,0.5,0.07999999821186066,0.05000000074505806,11.0,9.5,0.125,1.435178223524519,-1.2149480765463903
107,0.5,0.07999999821186066,0.05000000074505806,11.0,9.5,0.25,1.4351769685465556,-1.2149443633658832
108,0.5,0.07999999821186066,0.05000000074505806,11.0,9.5,0.375,1.4351784323871244,-1.2148909415208182
109,0.5,0.07999999821186066,0.05000000074505806,11.0,9.5,0.5,1.4351796927542984,-1.2149312631381917
110,0.5,0.07999999821186066,0.05000000074505806,11.0,10.0,0.0,1.3000002263402552,-1.1760056417423508
111,0.5,0.07999999821186066,0.05000000074505806,11.0,10.0,0.125,1.300000138224307,-1.1760056186757555
112,0.5,0.07999999821186066,0.05000000074505806,11.0,10.0,0.25,1.3000000704615569,-1.1760056333412854
113,0.5,0.07999999821186066,0.05000000074505806,11.0,10.0,0.375,1.3000000230519988,-1.1760065271074047
114,0.5,0.07999999821186066,0.05000000074505806,11.0,10.0,0.5,1.3000017677752023,-1.1759922453168268
115,0.5,0.07999999821186066,0.05000000074505806,11.0,10.5,0.0,1.176317268153294,-1.1317758967919742
116,0.5,0.07999999821186066,0.05000000074505806,11.0,10.5,0.125,1.1763163695689407,-1.1317750619665683
117,0.5,0.07999999821186066,0.05000000074505806,11.0,10.5,0.25,1.1763154046458169,-1.131772565557882
118,0.5,0.07999999821186066,0.05000000074505806,11.0,10.5,0.375,1.1763153932457535,-1.1317725561753194
119,0.5,0.07999999821186066,0.05000000074505806,11.0,10.5,0.5,1.176316020936998,-1.1317636880267516
120,0.5,0.07999999821186066,0.05000000074505806,11.0,11.0,0.0,1.063101705610894,-1.0811409130684102
121,0.5,0.07999999821186066,0.05000000074505806,11.0,11.0,0.125,1.0631019522288059,-1.0811415623567004
